reviewer,rating,review_text,date,source_url
QTester,5,"We love Q minder!. I am a Director of a Testing Center at a Community College and have been using Q minder for a few years. Q minder has helped us tremendously with controlling the flow of students coming in, especially during busy times. In the past students would fill our reception area anxiously waiting to be served which in turn would make our staff anxious as well! Now students are free to walk around and relax outside the testing area until they are notified. Q minder’s Data insights allows us to review and analyze traffic patterns to help us staff our center efficiently and effectively.",2019-09-04,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
kellyk11,5,Great tool for customer service. We use qminder everyday and it has helped us calling guests and keeping a detailed record of who is coming in and what we are helping them with. Very useful tool for any customer service based business!,2019-09-05,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Alcretor,5,"Best Queue Management Tool. Overall we were able to process a LOT more visitors, reduce wait times and capture a lot more information about visitors. It was a core contributor of an increase of efficiency, overall capacity and customer happiness.",2019-09-04,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
geot90,5,Amazing. Qminder is the best app. It makes work so much easier and gives you all the data insights you need.,2019-09-06,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Nolegirl1017,1,No longer can use without log in. I used to use this app to sign in to my medical lab for bloodwork. It was helpful because it showed how many people were waiting. Now I can no longer use it. To get a log in you have to pay now after a 14 day free trail. Not happy,2017-05-02,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Jovianmeta,2,App won’t load. App won’t load on my iphone all of a sudden. Works on my iPad. Seems this app doesn’t get updated much either.,2026-08-17,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
TechMan90,1,"Lost features. I use this app for work and I love the fact that I can use it on my phone. However, with this new layout, I can no longer view the list of people who are waiting unless I am on a computer.",2018-05-22,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Sunshine1943,1,Irene. Could not sign in.,2017-04-05,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Falcrest123,5,What a great queuing system. We used Qminder for a year and it has been an excellent addition to our service model. The iPad interface and recent updates to the app make it super easy to manage.,2019-09-06,https://apps.apple.com/us/app/qminder-dashboard/id1060050461
Catherine SM,5,"So easy to use and set-up!. This app is the perfect complement to the Queuing system. You can manage your lines, staff and consult your dashboard live. It lets you manage your flow from everywhere!",2019-09-04,https://apps.apple.com/us/app/qminder-dashboard/id1060050461Coqui728,5,"Very Useful and Simple. I work at a retail store and this became very handy. I know this is meant for restaurants but, I can see the potential of the app working for different businesses. In my store we always had a problem with space. We would get 15-30 customers either standing or sitting (if they get a chance) waiting to get there turn. This app has given me the ability to control traffic in my department and also gave the ability for customers to shop around while they wait.A good tip for an improvement: I am using an iPad Mini with an AppleTV hooked up. It would be great to have a display of the waiting list in full screen so customers can know who is ahead of them. Also while having that ability, when it comes to adding customers to the list it would be great to not show any personal information on the AppleTV until the customer is added.Plus I would love to put our own logo on the background. Just to make my display neater.Thank you for this app.",2015-12-11,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Hotdogpocket,5,Perfect for our restaurant. Our restaurant is a midsize bar and grill and this app is perfect for our waitlist needs. We only 18 tables in the restaurant we tend to get on a wait very quickly. Nextme is perfect for notifying people over text so they don't have to wait inside the small restaurant. They have great customer service that fixes problems as soon as they arise. It's easy to learn and there have been no problems training hosts on how to work it. The app has created a smoother pace for our restaurant and helped us get customers seated quicker than ever before. Highly recommended and I can't say enough good things about it.,2018-04-27,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Mthompson67,5,"Great App for my restaurant!. Nextme has been a lifesaver during our busiest weekend times!  we have a clear list of all names, place to list client's location in the restaurant so we can locate them when it's their turn, and most importantly, a time marker for when the client checked in with the amount of time they have waited.  all these functions and more have been so helpful in keeping our clients happy while they wait in line.  super shoutout to the nextme team for providing this app and services!!",2018-05-23,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Chitown Foodieeeezz,5,"Wow...game changer.. My gf and I went to this lil restaurant called Oiistar by my place last wknd, and the host said there'd be a 20min wait. We were starving, but he took down our number and said we could have a drink at the arcade bar across the street. We got a text right away showing our place in line. Sure enough, after I finished my beer I got a text saying that we were next! So easy and convenient...I've never been to Oiistar before (must've walked past it 100x), but we'll def be back.",2015-02-03,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Michelllecm,5,Best Waitlist App!. Highly recommend this app! I was on the search for an easy and simple waitlist app for my restaurant and this was the best one! At first I was a bit iffy switching to technology and getting rid of paper and pen... but it was the best move ever! If you're thinking of using a waitlist app look no further plus customer service is awesome.,2021-05-31,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Kuma's Too,5,"Happy Customers, Happy Restaurant. The App NextMe has been a very effective tool for our restaurant. Our hostesses are able to manage our wait list much more efficiently and our table turns have definitely improved! John and James are awesome and have been very responsive. We are delighted to support a local up and coming business!",2015-02-08,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Lukeh99123,5,Best by far. Nextme is the best wait list app I have tried in the App Store. Setup is super simple and customers love getting a coffee or wandering the neighborhood while waiting. No complaints here at all and it is dirt cheap on top of all that. Would highly recommend to anyone looking for an easy way to manage waitlists.,2016-09-28,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Timothy 31,5,"This app simply makes us better. We opened our doors w long waits and hostesses screaming names. This really works well, and makes us much more professional. 5 minutes to learn. Also you can view the waits from any I phone. We love the app and the customer service is awesome.",2019-06-02,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Unresponsive app,4,"Almost Perfect. Let’s be honest the app is pretty much perfect but I really wish you could take away displaying peoples phone numbers. Maybe give us some more settings within the app that enable personalizing. Also when I make a custom queue and select it within the app, instant crash. Over though great app",2019-07-19,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
Samng81,5,"Simple and the best waitlist app out there!!. This is by far the easiest wait list app I found in the app store. Our hosts love how simple it is to get started. The text message marketing also helps us turn tables as we can display our menus to waiting patrons. Overall, great app!",2017-04-07,https://apps.apple.com/us/app/nextme-virtual-waitlist-app/id935089985
